Epoch 0 | Batch 0 | Time 0.494s | Total Loss 0.453693 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.487520 | Zero Loss 0.000000 | Nonzero Loss 0.537270
Epoch 0 | Batch 1 | Time 0.102s | Total Loss 0.432713 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.472028 | Zero Loss 0.000000 | Nonzero Loss 0.498321
Epoch 0 | Batch 2 | Time 0.102s | Total Loss 0.392461 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.426387 | Zero Loss 0.000000 | Nonzero Loss 0.455429
Epoch 0 | Batch 3 | Time 0.100s | Total Loss 0.343561 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.355588 | Zero Loss 0.000000 | Nonzero Loss 0.434028
Epoch 0 | Batch 4 | Time 0.099s | Total Loss 0.333856 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.358889 | Zero Loss 0.000000 | Nonzero Loss 0.395076
Epoch 0 | Batch 5 | Time 0.099s | Total Loss 0.314227 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.342986 | Zero Loss 0.000000 | Nonzero Loss 0.361453
Epoch 0 | Batch 6 | Time 0.100s | Total Loss 0.284693 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.311016 | Zero Loss 0.000000 | Nonzero Loss 0.326944
Epoch 0 | Batch 7 | Time 0.099s | Total Loss 0.286449 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.328213 | Zero Loss 0.000000 | Nonzero Loss 0.298403
Epoch 0 | Batch 8 | Time 0.099s | Total Loss 0.264117 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.300562 | Zero Loss 0.000000 | Nonzero Loss 0.279265
Epoch 0 | Batch 9 | Time 0.100s | Total Loss 0.259062 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.301936 | Zero Loss 0.000000 | Nonzero Loss 0.259668
Epoch 0 | Batch 10 | Time 0.100s | Total Loss 0.227632 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.256610 | Zero Loss 0.000000 | Nonzero Loss 0.245552
Epoch 0 | Batch 11 | Time 0.100s | Total Loss 0.248501 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.299230 | Zero Loss 0.000000 | Nonzero Loss 0.229876
Epoch 0 | Batch 12 | Time 0.100s | Total Loss 0.249259 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.311514 | Zero Loss 0.000000 | Nonzero Loss 0.207836
Epoch 0 | Batch 13 | Time 0.101s | Total Loss 0.233372 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.288641 | Zero Loss 0.000000 | Nonzero Loss 0.200623
Epoch 0 | Batch 14 | Time 0.100s | Total Loss 0.235562 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.295389 | Zero Loss 0.000000 | Nonzero Loss 0.194428
Epoch 0 | Batch 15 | Time 0.100s | Total Loss 0.225134 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.281079 | Zero Loss 0.000000 | Nonzero Loss 0.188288
Epoch 0 | Batch 16 | Time 0.100s | Total Loss 0.244198 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.316487 | Zero Loss 0.000000 | Nonzero Loss 0.181018
Epoch 0 | Batch 17 | Time 0.100s | Total Loss 0.238480 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.308678 | Zero Loss 0.000000 | Nonzero Loss 0.177577
Epoch 0 | Batch 18 | Time 0.100s | Total Loss 0.244240 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.320711 | Zero Loss 0.000000 | Nonzero Loss 0.172711
Epoch 0 | Batch 19 | Time 0.100s | Total Loss 0.226813 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.292775 | Zero Loss 0.000000 | Nonzero Loss 0.170493
Epoch 0 | Batch 20 | Time 0.100s | Total Loss 0.234724 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.308290 | Zero Loss 0.000000 | Nonzero Loss 0.165835
Epoch 0 | Batch 21 | Time 0.099s | Total Loss 0.219118 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.284823 | Zero Loss 0.000000 | Nonzero Loss 0.160748
Epoch 0 | Batch 22 | Time 0.099s | Total Loss 0.236176 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.316990 | Zero Loss 0.000000 | Nonzero Loss 0.153272
Epoch 0 | Batch 23 | Time 0.100s | Total Loss 0.219730 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.291463 | Zero Loss 0.000000 | Nonzero Loss 0.149506
Epoch 0 | Batch 24 | Time 0.100s | Total Loss 0.220983 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.298002 | Zero Loss 0.000000 | Nonzero Loss 0.140605
Epoch 0 | Batch 25 | Time 0.100s | Total Loss 0.223589 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.305744 | Zero Loss 0.000000 | Nonzero Loss 0.133807
Epoch 0 | Batch 26 | Time 0.100s | Total Loss 0.199055 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.264427 | Zero Loss 0.000000 | Nonzero Loss 0.134663
Epoch 0 | Batch 27 | Time 0.101s | Total Loss 0.219559 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.306690 | Zero Loss 0.000000 | Nonzero Loss 0.118483
Epoch 0 | Batch 28 | Time 0.100s | Total Loss 0.213675 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.298323 | Zero Loss 0.000000 | Nonzero Loss 0.115605
Epoch 0 | Batch 29 | Time 0.100s | Total Loss 0.204332 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.286296 | Zero Loss 0.000000 | Nonzero Loss 0.108515
Epoch 0 | Batch 30 | Time 0.101s | Total Loss 0.194851 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.273251 | Zero Loss 0.000000 | Nonzero Loss 0.103002
Epoch 0 | Batch 31 | Time 0.100s | Total Loss 0.199045 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.283109 | Zero Loss 0.000000 | Nonzero Loss 0.097267
Epoch 0 | Batch 32 | Time 0.101s | Total Loss 0.200500 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.288867 | Zero Loss 0.000000 | Nonzero Loss 0.090600
Epoch 0 | Batch 33 | Time 0.101s | Total Loss 0.200590 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.290954 | Zero Loss 0.000000 | Nonzero Loss 0.086724
Epoch 0 | Batch 34 | Time 0.101s | Total Loss 0.184628 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.265887 | Zero Loss 0.000000 | Nonzero Loss 0.083651
Epoch 0 | Batch 35 | Time 0.101s | Total Loss 0.192726 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.280128 | Zero Loss 0.000000 | Nonzero Loss 0.082163
Epoch 0 | Batch 36 | Time 0.101s | Total Loss 0.199390 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.294387 | Zero Loss 0.000000 | Nonzero Loss 0.075861
Epoch 0 | Batch 37 | Time 0.101s | Total Loss 0.181474 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.263894 | Zero Loss 0.000000 | Nonzero Loss 0.077123
Epoch 0 | Batch 38 | Time 0.101s | Total Loss 0.202159 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.302021 | Zero Loss 0.000000 | Nonzero Loss 0.069822
Epoch 0 | Batch 39 | Time 0.100s | Total Loss 0.202689 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.303623 | Zero Loss 0.000000 | Nonzero Loss 0.068386
Epoch 0 | Batch 40 | Time 0.101s | Total Loss 0.223873 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.340329 | Zero Loss 0.000000 | Nonzero Loss 0.065586
Epoch 0 | Batch 41 | Time 0.100s | Total Loss 0.197928 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.297404 | Zero Loss 0.000000 | Nonzero Loss 0.064951
Epoch 0 | Batch 42 | Time 0.100s | Total Loss 0.184313 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.274870 | Zero Loss 0.000000 | Nonzero Loss 0.064637
Epoch 0 | Batch 43 | Time 0.099s | Total Loss 0.185536 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.278264 | Zero Loss 0.000000 | Nonzero Loss 0.061925
Epoch 0 | Batch 44 | Time 0.100s | Total Loss 0.202721 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.309123 | Zero Loss 0.000000 | Nonzero Loss 0.057491
Epoch 0 | Batch 45 | Time 0.099s | Total Loss 0.191575 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.290708 | Zero Loss 0.000000 | Nonzero Loss 0.057167
Epoch 0 | Batch 46 | Time 0.099s | Total Loss 0.185203 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.280839 | Zero Loss 0.000000 | Nonzero Loss 0.055666
Epoch 0 | Batch 47 | Time 0.100s | Total Loss 0.168215 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.251569 | Zero Loss 0.000000 | Nonzero Loss 0.057578
Epoch 0 | Batch 48 | Time 0.100s | Total Loss 0.183446 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.278462 | Zero Loss 0.000000 | Nonzero Loss 0.054563
Epoch 0 | Batch 49 | Time 0.100s | Total Loss 0.186071 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.283733 | Zero Loss 0.000000 | Nonzero Loss 0.052769
Epoch 0 | Batch 50 | Time 0.100s | Total Loss 0.192966 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.296140 | Zero Loss 0.000000 | Nonzero Loss 0.050941
Epoch 0 | Batch 51 | Time 0.100s | Total Loss 0.177156 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268956 | Zero Loss 0.000000 | Nonzero Loss 0.052607
Epoch 0 | Batch 52 | Time 0.101s | Total Loss 0.180299 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.275018 | Zero Loss 0.000000 | Nonzero Loss 0.050961
Epoch 0 | Batch 53 | Time 0.101s | Total Loss 0.199408 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.307104 | Zero Loss 0.000000 | Nonzero Loss 0.050487
Epoch 0 | Batch 54 | Time 0.101s | Total Loss 0.189467 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.291365 | Zero Loss 0.000000 | Nonzero Loss 0.048826
Epoch 0 | Batch 55 | Time 0.101s | Total Loss 0.175240 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.266098 | Zero Loss 0.000000 | Nonzero Loss 0.051936
Epoch 0 | Batch 56 | Time 0.101s | Total Loss 0.191179 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.293522 | Zero Loss 0.000000 | Nonzero Loss 0.050220
Epoch 0 | Batch 57 | Time 0.101s | Total Loss 0.176453 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268312 | Zero Loss 0.000000 | Nonzero Loss 0.051551
Epoch 0 | Batch 58 | Time 0.101s | Total Loss 0.176794 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268998 | Zero Loss 0.000000 | Nonzero Loss 0.051317
Epoch 0 | Batch 59 | Time 0.101s | Total Loss 0.191370 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.293526 | Zero Loss 0.000000 | Nonzero Loss 0.050846
Epoch 0 | Batch 60 | Time 0.101s | Total Loss 0.182893 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.280718 | Zero Loss 0.000000 | Nonzero Loss 0.048207
Epoch 0 | Batch 61 | Time 0.100s | Total Loss 0.186561 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.286744 | Zero Loss 0.000000 | Nonzero Loss 0.048382
Epoch 0 | Batch 62 | Time 0.101s | Total Loss 0.166178 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.252066 | Zero Loss 0.000000 | Nonzero Loss 0.049796
Epoch 0 | Batch 63 | Time 0.100s | Total Loss 0.174328 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.265930 | Zero Loss 0.000000 | Nonzero Loss 0.049234
Epoch 0 | Batch 64 | Time 0.102s | Total Loss 0.169799 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.258077 | Zero Loss 0.000000 | Nonzero Loss 0.049842
Epoch 0 | Batch 65 | Time 0.101s | Total Loss 0.196748 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.305721 | Zero Loss 0.000000 | Nonzero Loss 0.044385
Epoch 0 | Batch 66 | Time 0.101s | Total Loss 0.176214 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.269415 | Zero Loss 0.000000 | Nonzero Loss 0.048548
Epoch 0 | Batch 67 | Time 0.100s | Total Loss 0.180406 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.277367 | Zero Loss 0.000000 | Nonzero Loss 0.046619
Epoch 0 | Batch 68 | Time 0.100s | Total Loss 0.169921 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.259577 | Zero Loss 0.000000 | Nonzero Loss 0.047248
Epoch 0 | Batch 69 | Time 0.100s | Total Loss 0.181783 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.280199 | Zero Loss 0.000000 | Nonzero Loss 0.045546
Epoch 0 | Batch 70 | Time 0.101s | Total Loss 0.187922 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.290755 | Zero Loss 0.000000 | Nonzero Loss 0.044899
Epoch 0 | Batch 71 | Time 0.101s | Total Loss 0.190509 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.295147 | Zero Loss 0.000000 | Nonzero Loss 0.044736
Epoch 0 | Batch 72 | Time 0.101s | Total Loss 0.167716 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.256620 | Zero Loss 0.000000 | Nonzero Loss 0.045813
Epoch 0 | Batch 73 | Time 0.101s | Total Loss 0.182996 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.283115 | Zero Loss 0.000000 | Nonzero Loss 0.043758
Epoch 0 | Batch 74 | Time 0.101s | Total Loss 0.187053 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.289731 | Zero Loss 0.000000 | Nonzero Loss 0.044048
Epoch 0 | Batch 75 | Time 0.101s | Total Loss 0.169217 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.260002 | Zero Loss 0.000000 | Nonzero Loss 0.044052
Epoch 0 | Batch 76 | Time 0.101s | Total Loss 0.161455 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.247064 | Zero Loss 0.000000 | Nonzero Loss 0.044056
Epoch 0 | Batch 77 | Time 0.101s | Total Loss 0.197608 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.308490 | Zero Loss 0.000000 | Nonzero Loss 0.041716
Epoch 0 | Batch 78 | Time 0.101s | Total Loss 0.175405 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.271369 | Zero Loss 0.000000 | Nonzero Loss 0.041945
Epoch 0 | Batch 79 | Time 0.101s | Total Loss 0.167854 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.258079 | Zero Loss 0.000000 | Nonzero Loss 0.043356
Epoch 0 | Batch 80 | Time 0.101s | Total Loss 0.169316 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.260830 | Zero Loss 0.000000 | Nonzero Loss 0.042726
Epoch 0 | Batch 81 | Time 0.100s | Total Loss 0.174502 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.269885 | Zero Loss 0.000000 | Nonzero Loss 0.041904
